Code CATMINAT;Syntaxon
02/3.0.1.0.1/03;Salicornietum obscurae (Géhu & Franck 1982) Géhu & Géhu-Franck 1984
02/3.0.1.0.1/03;Salicornietum obscurae J.M & J. Géhu (1980) 1982 apud Géhu & Géhu-Franck 1984
02/3.0.1.0.1/03;Salicornietum obscurae J.M & J. Géhu 1980
02/3.0.1.0.1/03;Salicornietum strictae Knauer 1952
02/3.0.1.0.1/04;Suaedetum maritimae var. maritimae (Conard 1935) Pignatti 1953
02/3.0.1.0.1/04;Astero tripoli subsp. tripoli écoph. annuel - Suaedetum maritimae var. macrocarpae Géhu 1976
02/3.0.1.0.1/04;Astero tripoli subsp. tripoli écoph. annuel - Suaedetum maritimae var. maritimae (Géhu & Franck 1982) Géhu & Géhu-Franck 1984
02/3.0.1.0.1/04;Astero tripoli subsp. tripoli écoph. annuel - Suaedetum maritimae var. maritimae J.-M. & J. Géhu 1969
02/3.0.1.0.1/04;Suaedetum maritimae var. humifusae (Géhu & Franck 1982) Géhu & Géhu-Franck 1984
02/3.0.1.0.1/04;Suaedetum maritimae var. humifusae (Géhu & Franck 1982) Géhu 1992
02/3.0.1.0.1/04;Suaedetum maritimae var. humifusae Géhu 1976
02/3.0.1.0.1/04;Suaedetum maritimae var. humifusae Géhu 1976 corr. Géhu & Géhu-Franck 1982
02/3.0.1.0.1/04;Suaedetum maritimae var. humifusae Géhu 1979
02/3.0.1.0.1/04;Suaedetum maritimae var. maritimae de Vries 1935
02/3.0.1.0.1/04;Suaedetum maritimae var. humifusae J.-M. & J. Géhu 1969
02/3.0.1.0.2;Salicornion appressae Tüxen 1974
02/3.0.1.0.2;Salicornion appressae Rivas-Martínez in Rivas-Martínez, Costa, Castroviejo & Valdes 1980
02/3.0.1.0.2;Salicornion europaeo - appressae Géhu & Géhu-Franck 1984
02/3.0.1.0.2;Salicornion europaeo - appressae Géhu & Géhu-Franck 1984 ex Rivas-Martínez 1991
02/3.0.1.0.2;Suaedion maritimae Braun-Blanquet 1933 em. Tüxen 1950
02/3.0.1.0.2/02;Salicornietum europaeae Tüxen 1974
02/3.0.1.0.2/02;Salicornietum europaeae Christiansen 1955
02/3.0.1.0.2/02;Puccinellio distantis - Salicornietum europaeae (Wilkon-Michalska 1963) Tüxen 1974
02/3.0.1.0.2/02;Puccinellio maritimae - Salicornietum europaeae (Géhu & Franck 1982) Géhu & Géhu-Franck 1984
02/3.0.1.0.2/02;Spergulario mediae - Salicornietum europaeae Géhu 1974 corr. 1992
02/3.0.1.0.2/02;Spergulario marinae - Salicornietum europeae Bueno & F. Prieto in Bueno 1997 corr. Bueno 1997
02/3.0.1.0.2/02;Salicornietum europaeo - disarticulatae Géhu 2006
